Gene	RNASeq18MM-1-uP	RNASeq18MM-2-uP	RNASeq18MM-3-uP	RNASeq18LL-1-uP	RNASeq18LL-1-uP	RNASeq18LL-1-uP
ECs4098	752	712	1006	139	156	182
ECs4099	5415	6824	7663	3269	3289	3754
ECs4100	530	493	782	540	514	434
ECs4101	12242	12904	14487	11529	12617	15211
ECs4102	32909	35646	45721	37867	34747	39112
ECs4103	132777	142855	213149	302596	254748	282067
ECs4104	167070	177789	265877	376230	316580	351383
ECs4105	6444	6768	11087	3988	3227	3843
ECs4106	10638	12182	14695	5267	5214	6720
ECs4107	5658	6108	8036	1809	1605	2009
ECs4108	3939	4215	5413	3455	3395	4221
ECs4109	42585	48441	55789	8339	9044	9530
ECs4110	10998	12699	17581	4787	4411	5083
ECs4111	604	669	906	19355	19290	16100
ECs4112	760	719	1099	460	445	430
ECs4113	959	1136	1375	7595	7405	7493
ECs4114	370	483	478	3134	3300	3098
ECs4115	147	163	178	783	902	754
ECs4116	2171	2362	2780	2555	2609	3176
ECs4117	14508	14086	18410	7296	7212	10138
ECs4118	9635	10167	14519	7608	7008	8585
ECs4119	12431	13555	17717	11582	10764	12963
ECs4120	3060	2711	3286	2103	2237	2851
ECs4121	2823	3054	4235	3673	2978	3483
ECs4122	10817	11022	13059	13087	12979	15451
ECs4123	32455	31203	36715	26524	27582	33815
ECs4124	11013	12157	13830	5865	5584	6809
ECs4125	1964	919	2799	648	485	549
ECs4126	173	97	254	108	91	95
ECs4127	17925	17895	26150	26218	22840	26199
ECs4128	30862	31498	42026	42209	37943	43855
ECs4129	784	892	1231	1160	1034	1214
ECs4130	5637	5528	7032	6194	5805	7348
ECs4131	7711	8218	11060	8131	7522	9042
ECs4132	81747	89205	140250	369494	334236	391398
ECs4133	25312	27690	44326	103405	93469	107313
ECs4134	1621	1732	2866	3737	3076	3790
ECs4135	97	100	162	96	71	92
ECs4136	69	71	114	128	126	127
ECs4137	149	149	200	272	217	271
ECs4138	1297	1395	1879	1287	1150	1277
ECs4139	1368	1574	2172	1572	1291	1544
ECs4140	627	688	784	1864	1930	1925
ECs4141	1294	1514	1597	684	542	644
ECs4142	645	697	853	896	706	819
ECs4143	451	463	700	1083	899	1009
ECs4144	785	894	1330	1534	1336	1586
rrfF	16	11	16	20	40	23
thrV	1	0	0	1	7	1
rrfD	24	28	62	21	129	31
rrlD	7185	3121	11664	12495	282734	6559
alaU	744	847	1416	1700	1778	2482
ileU	955	1007	2012	2687	2423	3520
rrsD	5597	5888	11974	5646	120819	6261
ECs4145	8336	9535	14819	3368	3138	4132
ECs4146	765	889	1236	570	505	586
ECs4147	2187	2352	3641	2000	1571	1972
ECs4148	1667	1965	2506	1465	1256	1537
ECs4149	1630	1955	2528	1116	1026	1227
ECs4150	8021	8274	12857	2878	2325	2607
ECs4151	1344	1055	2347	639	497	547
ECs4152	10561	12221	14488	10794	9631	10894
ECs4153	13743	16293	19990	17428	15513	17940
ECs4154	7503	8134	10997	10332	9170	9813
ECs4155	5071	4650	7612	6738	5364	6213
ECs4156	6777	7632	10879	3209	2688	3034
ECs4157	2119	2542	3543	1678	1345	1615
ECs4158	3253	3644	5022	2543	2278	2481
ECs4159	100114	124986	151885	251548	237553	257576
ECs4160	433083	515407	684480	1067679	948520	1008994
ECs4161	259506	293406	412048	628977	528344	554034
ECs4162	159216	184930	250744	357993	312364	335234
ECs4163	183141	205839	287654	398467	341002	364437
ECs4164	70244	80954	114242	158846	135659	146806
ECs4165	404532	403007	637656	1019499	813715	850824
ECs4166	137754	113857	212429	339429	252376	266177
ECs4167	30160	29830	47067	72669	58163	61158
ECs4168	146280	145195	225467	337093	259405	274388
ECs4169	85089	81612	116768	167915	145017	167511
ECs4170	158786	176379	237183	342901	292399	310854
ECs4171	115275	132927	181533	248421	213805	223894
ECs4172	143984	169282	202824	280180	260074	272949
ECs4173	258326	307477	405278	540788	472434	506923
ECs4174	121966	144292	194992	243543	216033	230789
ECs4175	184374	215838	289733	368005	322807	344243
ECs4176	91633	110555	146342	220175	206245	215578
ECs4177	46524	53798	72944	104259	91862	101452
ECs4178	140096	161890	203111	298267	283403	307201
ECs4179	258036	281640	359610	522829	509127	560662
ECs4180	139004	161444	220214	318910	287676	307087
ECs4181	83490	95915	132418	186605	167286	177389
ECs4182	324268	345888	457947	651983	623793	683259
ECs4183	116931	134672	185505	266235	238949	255180
ECs4184	232484	266977	345170	507067	473835	517203
ECs4185	329798	382019	522895	743890	676430	725368
ECs4186	177777	153650	182342	268105	313506	388198
ECs4187	17200	17988	25777	35274	34039	38648
ECs4188	558	492	903	276	256	276
ECs4189	12586	13249	20349	3046	2914	3180
ECs4190	444127	417204	592247	530006	484848	551195
ECs4191	717079	746223	1081725	1202257	1045570	1161619
ECs4192	164100	184058	255643	294898	266196	297327
ECs4193	146928	163801	230377	256156	239292	264275
ECs4194	3665	4414	5615	1970	1800	2039
ECs4195	1189	1157	1581	839	692	816
ECs4196	2312	2171	3712	1720	1305	1585
ECs4197	7254	5931	12206	4985	3637	4030
ECs4198	41010	45513	64370	40150	33708	38610
ECs4199	2485	2946	4521	2440	2113	2667
ECs4200	51719	47280	71191	30243	28017	37026
ECs4201	2100	1926	2883	962	783	946
ECs4202	662	620	1259	334	231	272
ECs4203	9190	9283	12239	9203	8862	11442
ECs4204	3148	3395	4168	2777	2845	3583
ECs4205	939	1150	1595	625	524	660
ECs4206	4175	4657	6524	2000	1744	2423
ECs4207	2984	2948	4884	1265	1019	1158
ECs4208	24177	30141	38978	4711	4130	5113
ECs4209	7045	7924	10560	1492	1269	1572
ECs4210	10017	6051	18975	740	531	687
ECs4211	1047	746	1459	582	485	594
ECs4212	2961	2118	4179	307	243	256
ECs4213	945	864	1469	134	152	168
ECs4214	11521	11693	17171	1938	1849	2315
ECs4215	6186	7035	8740	4019	3406	3502
ECs4216	1155	1333	1368	1135	1076	1109
ECs4217	107	88	111	77	80	96
ECs4218	90	107	149	136	116	122
ECs4219	2995	2925	3714	2736	2790	3399
ECs4220	180	228	303	521	584	637
ECs4221	86	56	108	65	51	53
ECs4222	80	112	131	75	72	63
ECs4223	326	298	388	190	254	284
ECs4224	419	439	622	448	374	401
ECs4225	2886	3047	4687	2507	2126	2289
ECs4226	8769	5822	14516	4779	3197	3491
ECs4227	2992	2495	4047	1602	1194	1617
ECs4228	4644	4583	7344	2609	2337	2770
ECs4229	6856	7212	10964	5879	5004	6013
ECs4230	33272	31933	43684	24565	23070	29056
ECs4231	23751	20838	36110	34533	26832	32102
ECs4232	24354	23941	41216	43622	34181	39468
ECs4233	167	147	296	150	88	118
ECs4234	25	12	39	32	20	17
ECs4235	32	36	58	41	15	37
ECs4236	67	71	94	61	46	74
ECs4237	267	241	235	151	167	249
ECs4238	10034	9805	11182	10812	11598	14413
ECs4239	5077	6059	7257	4751	4581	5310
ECs4240	7711	9129	9610	4755	4504	5270
ECs4241	6254	6758	9871	5283	4544	5450
ECs4242	4296	4432	6168	2722	2532	2770
ECs4243	10985	9245	15066	5723	5013	5409
ECs4244	1346	1386	2081	765	657	777
ECs4245	25609	27015	35154	7560	6847	7553
ECs4246	4300	4605	5396	6400	6573	7866
ECs4247	7553	7815	8952	9652	10203	12197
ECs4248	951	1228	1539	810	736	901
ECs4249	12663	12161	13314	6331	6785	8963
ECs4250	232	362	286	661	557	649
ECs4251	1567	1679	1669	3012	2824	3777
ECs4252	180	153	216	335	269	377
ECs4253	588	581	891	531	463	582
ECs4255	1222	964	1664	1104	969	1235
ECs4254	1775	1691	2494	1609	1257	1490
ECs4256	10571	12777	15247	7010	6187	7073
ECs4257	897	741	1119	589	481	615
ECs4258	3582	2264	5130	1233	1031	1177
ECs4259	5275	4536	8126	623	494	624
ECs4260	19124	19248	24915	2247	2093	2559
ECs4261	822	866	1200	328	287	305
ECs4262	618	563	991	510	311	355
ECs4263	297	298	303	203	199	255
ECs4264	252	291	489	243	182	255
ECs4265	922	672	816	452	525	650
ECs4266	4065	3252	4647	1777	2115	2530
ECs4267	6090	6230	8424	4341	4109	4875
ECs4268	4641	4993	6803	3137	2954	3172
ECs4269	135540	129841	140201	2230	2561	2354
ECs4270	1157	1370	1491	108	100	98
ECs4271	120	152	186	82	89	56
ECs4272	518	488	816	196	163	148
ECs4273	35501	36406	53787	6336	5463	6819
ECs4274	19196	21361	28859	3225	2845	3385
ECs4275	15318	16553	22964	2479	2235	2523
ECs4276	10282	9912	15236	1919	1678	2007
ECs4277	17509	17532	26817	3440	2796	3135
ECs4278	6989	8893	11058	3283	2636	3214
ECs4279	1710	1793	2322	2081	1687	1947
ECs4280	2076	2052	3192	2404	2011	2367
ECs4281	212	244	369	233	191	223
ECs4282	489	545	904	383	304	355
ECs4283	72	58	131	84	74	88
ECs4284	89	85	126	48	46	43
ECs4285	501	596	638	1332	1195	1546
ECs4286	480	613	539	720	589	788
ECs4287	4008	4367	5585	2911	2548	3299
ECs4288	8751	8366	5691	1600	1371	1764
ECs4289	4863	5659	7394	1506	1310	1510
ECs4290	346	370	498	115	118	121
ECs4291	25	14	62	23	17	13
ECs4292	30	31	37	11	21	34
ECs4293	19135	16619	25417	868	825	949
ECs4294	2481	3750	3618	596	499	585
ECs4295	1912	1699	1938	342	377	489
ECs4296	1966	1166	1872	100	92	113
ECs4297	1296	1077	1457	65	60	75
ECs4298	1697	1474	1913	74	59	92
ECs4299	10031	10395	13542	418	334	358
ECs4300	850	839	1313	168	137	158
ECs4301	2578	1681	2447	150	123	139
ECs4302	3141	2607	3328	157	101	159
ECs4303	4953	4371	5107	345	268	445
ECs4304	3705	3232	4366	271	214	264
ECs4305	6605	6991	9273	361	257	339
ECs4306	698	602	910	263	276	292
ECs4307	947	1149	1750	374	327	377
ECs4308	924	1063	1522	227	166	211
ECs4309	16503	13654	24147	535	374	470
ECs4310	33019	36587	40167	20427	19761	25705
ECs4311	2996	2764	3773	2114	1910	2166
ECs4312	1619	1629	1857	1025	891	942
ECs4313	3531	4486	5180	3520	2858	3246
ECs4314	2006	1836	2733	1553	1657	2320
ECs4315	452	509	832	413	401	456
ECs4316	716	869	973	517	635	711
ECs4317	8941	10212	12195	2186	2226	3235
ECs4318	29510	16654	31128	14356	17011	23216
ECs4319	3379	2627	5443	3474	3149	3412
ECs4320	5073	4551	6725	7437	7910	9461
ECs4321	12270	14941	18936	10598	9479	10960
ECs4322	1488	1643	1979	1072	892	1151
ECs4323	713	600	1110	124	103	83
ECs4324	835	1118	994	1577	1371	1200
ECs4325	3321	4292	4311	5762	4940	5168
ECs4326	1606	1989	2176	2769	2736	2924
ECs4327	2153	2483	2759	4879	4908	5161
ECs4328	704	791	937	1553	1418	1524
ECs4329	877	1017	1140	1987	1661	1910
ECs4330	1029	657	589	1445	1808	2787
ECs4331	1962	1940	2074	4122	4589	5394
ECs4332	270	274	351	590	556	654
ECs4333	1381	1260	1262	2245	2553	3360
ECs4334	429	509	550	723	676	696
ECs4335	523	531	533	785	791	1022
ECs4336	1408	1246	1143	1962	2349	3113
ECs4337	535	464	313	471	663	887
ECs4338	763	498	348	569	931	1557
ECs4339	387	334	419	602	631	794
ECs4340	823	821	752	1171	1182	1546
ECs4341	3381	3685	4500	4272	3902	4819
ECs4342	3780	3054	3534	2987	3145	4754
ECs4343	1943	1947	2867	3234	2654	2919
ECs4344	111	85	118	99	118	199
ECs4345	109	104	47	42	111	227
ECs4346	197	203	246	221	206	306
ECs4347	477	648	803	478	546	696
ECs4348	1019	1189	1324	715	676	876
ECs4349	356	459	681	136	98	131
ECs4350	289	268	348	75	71	96
ECs4351	259	293	471	119	105	164
ECs4352	423	499	714	216	150	200
ECs4353	409	279	385	130	161	227
ECs4354	55	61	60	26	18	18
ECs4355	398	391	499	336	291	274
ECs4356	892	1044	1437	687	594	541
ECs4357	896	1014	1326	602	555	607
ECs4358	834	861	1281	668	640	632
ECs4359	1169	1142	1459	740	583	859
ECs4360	1307	968	1044	874	980	1631
ECs4361	404	430	653	328	267	279
ECs4362	120	91	206	101	77	152
ECs4363	12962	13443	27992	1760	1600	2587
ECs4364	1632	1117	2543	4032	2773	3226
ECs4365	31488	36203	49725	41503	33628	41629
ECs4366	1943	1621	2850	378	345	408
ECs4367	9567	11815	16057	1712	1499	1616
ECs4368	1123	1265	1673	469	417	483
ECs4369	1674	1158	1264	484	603	1038
ECs4370	22239	25174	30000	6269	5977	7026
ECs4371	7234	8224	10341	7904	7193	8134
ECs4372	12772	13053	14111	8206	8215	9466
ECs4373	199	200	292	316	290	318
ECs4374	564	557	724	673	676	806
ECs4375	261	281	378	298	232	274
ECs4376	30	40	63	74	41	74
ECs4377	81779	96084	155584	13058	12442	17284
ECs4378	7460	8195	14038	1392	1391	2000
ECs4379	3141	3602	5673	1062	1009	1416
ECs4380	694	770	1130	581	363	442
ECs4381	76	81	103	83	71	62
ECs4382	259	310	367	279	294	282
ECs4383	372	377	600	404	322	431
ECs4384	194	154	201	94	87	111
ECs4385	318	332	379	187	175	232
ECs4386	620	728	960	528	423	560
ECs4387	875	769	1696	671	492	689
ECs4388	3677	2737	8904	509	357	756
ECs4389	26255	25882	55484	1407	1130	2343
ECs4390	137573	141113	281041	5139	4807	8962
ECs4391	22088	24292	53051	2914	2927	6461
ECs4392	37445	39559	75847	6664	5626	8894
ECs4393	12718	12073	21195	1727	1638	2763
ECs4394	28675	28164	51392	5308	4841	7679
ECs4395	7750	8715	13936	631	610	857
ECs4396	7965	9139	14603	1738	1615	2377
ECs4397	64242	55560	105908	2020	2341	3610
ECs4398	269	311	566	325	240	365
ECs4399	4489	6107	6001	569	498	586
ECs4400	580	642	941	841	735	785
ECs4401	310	370	500	127	77	122
ECs4402	2638	3240	3921	326	302	329
ECs4403	10265	10311	13677	429	367	472
ECs4404	5066	4801	6329	445	415	430
ECs4405	523	839	407	274	178	133
ECs4406	1574	1615	2040	1307	1367	1743
ECs4407	10612	9807	12003	5380	5209	6083
ECs4408	2849	2349	4455	1118	751	854
ECs4409	3527	2989	4718	2730	1962	2148
ECs4410	1827	1547	2131	623	689	899
ECs4411	441	415	636	307	232	329
ECs4412	842	852	1253	621	592	653
ECs4413	1088	1007	1569	821	719	945
ECs4414	556	604	1002	222	129	198
ECs4415	585	656	992	263	204	276
ECs4416	6890	7144	10683	3360	2926	3140
ECs4417	248	301	418	62	55	78
ECs4418	4470	4669	5938	1149	1004	1328
ECs4419	2352	2537	3455	4927	4475	5006
ECs4420	2113	2011	2304	935	969	1444
ECs4421	1834	2235	2350	492	460	555
ECs4422	817	711	586	130	153	273
ECs4423	1349	1291	1386	182	204	266
ECs4424	17731	22629	26386	2273	1975	2237
proK	293	287	480	361	311	401
ECs4425	8315	8659	11493	10036	9281	11013
ECs4426	164	156	285	157	110	144
ECs4427	384	457	713	392	394	425
ECs4428	665	688	900	602	612	666
ECs4429	159	145	241	130	105	107
ECs4430	63	46	93	115	77	88
ECs4431	166	141	220	206	204	259
ECs4432	462	464	774	247	152	184
ECs4433	1424	1437	2425	334	246	296
ECs4434	1777	1777	2788	811	604	768
ECs4435	685	751	1189	393	297	350
ECs4436	4739	4116	7133	3645	3087	3572
ECs4437	471	429	500	1714	1856	2709
ECs4438	10271	12601	16542	3323	2977	3820
ECs4439	10116	10980	14557	5336	4496	5087
ECs4440	10308	11654	15740	369	398	353
ECs4441	37260	44124	60546	666800	642328	748481
ECs4442	39391	34868	39135	30999	33381	41893
ECs4443	17285	16182	20585	15148	14778	17076
ECs4444	1307	1702	1641	1095	951	1034
ECs4445	113	109	156	150	145	145
ECs4446	23	46	61	62	37	43
ECs4447	331	321	466	209	177	171
ECs4448	492	661	738	293	296	316
ECs4449	110	136	192	118	64	58
ECs4450	349	392	516	255	199	255
ECs4451	426	464	518	292	294	324
ECs4452	1878	2106	2653	1557	1384	1530
ECs4453	31914	39962	43639	17710	17204	18186
ECs4454	758	1028	1248	395	346	449
ECs4455	18133	20498	26760	12454	11456	13077
ECs4456	1041	1128	1122	687	776	1033
ECs4457	280	233	357	134	111	123
ECs4458	153	133	171	148	120	140
ECs4459	303	335	365	203	194	224
ECs4460	54	53	98	57	48	49
ECs4461	591	618	1096	774	658	738
ECs4462	180	182	255	182	163	195
ECs4463	7	13	34	22	10	12
ECs4464	7462	5028	9343	709	703	832
ECs4465	4278	4922	6938	2952	2852	3460
ECs4466	306	323	479	304	287	264
ECs4467	5022	4264	4937	1245	1467	2014
ECs4468	4315	3892	5176	1433	1581	1964
ECs4469	5329	4715	7896	651	601	629
ECs4470	2836	2380	2351	2435	3002	5120
ECs4471	13	31	27	19	15	26
ECs4472	6	10	24	13	7	10
ECs4473	185	157	307	111	85	83
ECs4474	67	79	150	29	18	15
ECs4475	4818	2708	7859	598	507	464
ECs4476	4196	4458	6825	2600	2303	2431
ECs4477	2015	2256	3326	1921	1601	1770
ECs4478	3991	4787	6735	4585	4116	4959
ECs4479	12	14	22	14	12	8
ECs4480	4010	4474	5949	3948	3383	3823
ECs4481	2793	2785	3481	624	680	731
ECs4482	914	1029	1180	261	324	329
ECs4483	4420	5024	5618	1042	1085	1259
ECs4484	3424	3088	4650	3533	3309	3969
ECs4485	7502	8076	10635	5782	4759	5813
ECs4486	13672	12393	16303	6532	5570	7221
ECs4487	14749	15376	23059	9527	7383	8648
ECs4488	10495	12468	16923	7380	6159	7226
ECs4489	17280	20338	27324	14932	13805	15781
ECs4490	11015	12992	14763	12700	11636	13400
ECs4491	7322	6795	8097	5714	6118	8148
ECs4492	4191	4573	6518	3133	2740	3230
ECs4493	662	647	921	685	618	671
ECs4494	2958	2564	4402	6218	4967	5341
ECs4495	3400	2595	4495	8329	6859	7657
ECs4496	3239	3188	5198	4262	3691	4454
ECs4497	13064	14366	19581	11394	9827	11208
ECs4498	8193	8574	11378	7342	6307	7124
ECs4499	5106	4854	7381	4670	3755	4074
ECs4500	7135	8522	11589	6483	5874	6424
ECs4501	6515	7437	9964	7298	6710	7202
ECs4502	3063	3483	5000	4051	3499	4015
ECs4503	2764	3266	4922	4024	3331	4030
ECs4504	3789	4748	6522	4923	4140	4641
ECs4505	3800	4007	5563	4289	3272	3617
ECs4506	8174	8646	12246	9307	7405	8041
ECs4507	10988	11813	16049	12631	10552	11901
ECs4508	9233	10106	13538	10418	10562	12189
ECs4509	3278	3519	5091	2490	2272	2734
ECs4510	2031	1634	3050	3066	2588	3263
ECs4511	29524	33415	48587	50937	47456	56068
ECs4512	113382	129259	185604	197753	181898	212449
ECs4513	5009	6668	8324	5723	5162	6614
ECs4514	6713	6423	7855	5292	5281	7039
ECs4515	3919	3908	4999	3543	3703	4754
ECs4516	4831	5516	7765	5347	4750	5882
ECs4517	5613	4490	9307	1136	914	1151
ECs4518	8429	6498	9323	7440	7873	9972
ECs4519	22846	22074	32161	11504	11039	12766
ECs4520	1435	1385	2218	1580	1243	1285
ECs4521	342	367	503	996	1075	864
ECs4522	703	711	1116	726	607	708
ECs4523	13264	15723	21279	16449	15067	17317
ECs4524	16095	18895	24780	19309	17170	19951
ECs4525	34793	38340	46898	43158	42738	50438
ECs4526	4184	4416	5703	5248	5532	6695
ECs4527	8179	8391	9718	8702	9162	11072
ECs4528	785	638	1304	815	607	982
ECs4529	4682	3998	7106	3259	2970	4964
ECs4530	22304	23732	33083	643	632	605
ECs4531	5249	6411	7400	2157	2079	2477
ECs4532	1107	1060	1532	626	538	623
ECs4533	302	309	480	235	191	177
selC	522	478	447	958	1423	1660
ECs4534	4001	4358	5659	6858	5870	6764
ECs4535	912	1111	1511	1252	1100	1236
ECs4536	375	373	405	359	404	508
ECs4537	996	1148	1340	1611	1668	1746
ECs4538	120	154	165	207	165	180
ECs4539	263	272	340	324	333	322
ECs4540	800	1047	1199	1170	925	1078
ECs4541	563	842	987	642	554	725
ECs4542	1386	2194	2158	1760	1621	1974
ECs4543	62	63	98	83	80	77
ECs4544	123	137	208	120	135	124
ECs4545	132	151	175	170	133	172
ECs4546	49	49	42	40	50	82
ECs4547	559	631	699	459	499	610
ECs4548	13	19	35	48	42	47
ECs4549	20	12	18	38	55	60
ECs4550	89	91	125	73	64	68
ECs4551	20	16	32	15	12	17
ECs4552	21	20	26	21	29	16
ECs4553	110	128	168	115	115	107
ECs4554	701	735	1123	959	831	1010
ECs4555	277	296	432	258	192	158
ECs4556	77	92	139	87	69	108
ECs4557	115	129	212	267	207	227
ECs4558	278	326	430	282	272	327
ECs4559	203	290	436	365	290	284
ECs4560	9	12	22	13	2	3
ECs4561	865	1016	1436	619	633	638
ECs4562	109	151	150	126	120	123
ECs4563	227	274	345	175	191	186
ECs4564	349	430	519	689	723	752
ECs4565	150	162	219	349	259	283
ECs4566	29	35	48	39	37	27
ECs4567	21	35	60	40	49	45
ECs4568	289	308	468	448	332	393
ECs4569	306	263	465	355	251	337
ECs4570	11	14	39	11	8	6
ECs4571	76	76	105	33	45	44
ECs4572	58	43	71	66	54	47
ECs4573	40	39	86	40	23	42
ECs4574	24	20	42	29	20	17
ECs4575	95	125	180	139	127	131
ECs4576	33	40	70	67	68	89
ECs4577	107	112	146	356	328	360
ECs4578	268	286	442	909	742	893
ECs4579	4	2	5	9	15	9
ECs4580	36	20	61	54	33	38
ECs4581	49	42	56	36	48	38
ECs4582	7	19	24	6	9	18
ECs4583	12	16	36	24	30	19
ECs4584	21	14	33	36	9	17
ECs4585	48	30	46	11	6	24
ECs4586	8	6	34	7	2	5
ECs4587	3	3	10	0	2	5
ECs4588	20	8	26	7	9	20
ECs4589	26	38	37	22	21	15
ECs4590	129	163	273	142	134	145
ECs4591	17	24	52	17	25	16
ECs4592	59	85	118	50	30	69
ECs4593	15	16	20	15	22	10
ECs4594	2320	2397	3239	948	917	888
ECs4595	5294	7902	6144	965	906	627
ECs4596	1920	2119	2761	3799	3436	3793
ECs4597	217	229	378	269	222	313
ECs4598	381	425	648	491	381	479
ECs4599	1314	1442	1935	1510	1306	1555
ECs4600	235	240	367	54	44	21
ECs4601	10	13	44	25	7	8
ECs4602	323	342	455	346	342	428
ECs4603	244	288	384	246	218	241
ECs4604	562	434	768	1367	1019	1410
ECs4605	1390	929	1512	2718	3094	4590
ECs4606	1081	794	1587	2320	2120	2918
ECs4607	28	43	67	45	46	63
ECs4608	14	13	10	10	12	9
ECs4609	31	21	42	22	29	14
ECs4610	82	88	158	38	32	29
ECs4611	466	452	716	88	80	92
ECs4612	3292	3040	4093	484	520	602
ECs4613	1262	945	557	132	237	348
ECs4614	233	192	200	2494	2682	2474
ECs4615	292	329	472	294	343	314
ECs4616	350	355	380	207	182	239
ECs4617	652	785	1013	352	409	469
ECs4618	322	276	437	303	214	222
ECs4619	306	361	464	335	249	312
ECs4620	220	250	430	240	214	242
ECs4621	135	105	246	80	73	71
ECs4622	365	385	592	540	388	536
ECs4623	172	256	355	232	215	172
ECs4624	93	85	141	65	53	64
ECs4625	1828	1544	2538	1612	1372	1490
ECs4626	3591	4447	5834	1262	1267	1414
ECs4627	4092	5028	6564	1659	1659	1780
ECs4628	6010	6384	9076	1460	1344	1450
ECs4629	3348	3791	4271	2131	2269	2816
ECs4630	312	407	527	300	357	403
ECs4631	954	1191	1539	1326	1259	1543
ECs4632	4114	4680	6348	2787	2625	2788
ECs4633	1266	1194	1943	1066	866	923
ECs4634	36533	31932	43704	31694	27300	33917
ECs4635	5017	4942	5891	5869	5845	6917
ECs4636	13640	13992	16867	15485	15139	18559
ECs4637	23110	25028	28535	28750	28741	34294
ECs4638	31809	38332	54762	53422	53475	59516
ECs4639	29889	34684	45799	59890	56139	62459
ECs4640	73670	73360	107785	114944	103372	119119
ECs4641	8635	6626	10146	8029	7507	9029
ECs4642	120	109	205	163	148	164
ECs4643	212	229	360	194	195	214
ECs4644	7	4	19	7	2	2
ECs4645	207	214	304	102	125	91
ECs4646	130	111	237	156	150	148
ECs4647	1265	1240	2344	1314	1091	1214
ECs4648	1169	1053	1733	1177	930	1181
ECs4649	3143	3419	4551	2419	2200	2668
ECs4650	3666	3849	5249	1580	1491	1825
ECs4651	21681	24132	32337	11006	9940	12007
ECs4652	3682	4114	6163	1343	1160	1343
ECs4653	263	246	433	219	196	238
ECs4654	14	15	26	17	24	22
ECs4655	9	2	18	19	13	9
ECs4656	34	56	70	61	62	39
ECs4657	82	62	179	209	157	141
ECs4658	5	2	6	7	12	9
ECs4659	26	30	51	38	29	36
ECs4660	1652	1685	2534	1619	1443	1487
ECs4661	1504	1623	2075	1787	1623	1763
ECs4662	814	919	1096	1318	1170	1372
ECs4663	1002	1100	1293	1362	1354	1532
ECs4664	2895	3672	4526	4382	3665	3707
ECs4665	296	338	460	419	383	366
ECs4666	271	271	385	270	199	277
ECs4667	686	792	1068	686	579	611
ECs4668	12	19	20	4	8	14
ECs4669	26	14	23	16	8	31
ECs4670	147	154	212	126	104	121
ECs4671	24812	19666	32171	15189	10535	13890
ECs4672	21793	24675	33777	22311	17496	23694
ECs4673	35063	37572	38590	15313	15381	17996
ECs4674	118108	108875	137164	61395	51189	56355
ECs4675	64496	68279	81006	30715	27271	30895
ECs4676	202604	229522	270307	101710	87519	97059
ECs4677	62919	72125	87813	31783	27921	31264
ECs4678	81533	90447	113574	40713	35821	40020
ECs4679	50089	55484	72306	24599	20417	22221
ECs4680	76654	82119	111707	44076	37304	41884
ECs4681	16848	17901	25879	11058	9292	10369
ECs4682	4610	5043	7497	5519	5275	5914
ECs4683	18090	12026	23624	26496	21384	22603
ECs4684	10246	11226	15026	14089	12132	13624
ECs4685	637	552	1068	369	285	392
ECs4686	4555	2819	8297	361	322	398
ECs4687	3003	3494	4789	1848	1808	2176
ECs4688	3822	4280	6076	2130	1979	2275
ECs4689	3752	3056	6738	4352	3475	4046
ECs4690	1254	1201	1430	352	251	284
ECs4691	1211	1138	1585	323	295	330
ECs4692	5306	4144	6353	773	772	1040
ECs4693	20030	20048	32566	2851	2524	2940
ECs4694	2840	2614	4293	933	857	958
ECs4695	1612	1801	2610	757	715	935
ECs4696	1750	2105	2770	1421	1339	1730
ECs4697	1765	2250	3072	2042	1755	2185
rrsC	2235	3146	4783	2115	36681	3024
gltU	1936	2256	3351	4428	4842	6745
rrlC	1042	404	1901	1655	45708	1012
rrfC	5	4	3	2	17	3
aspT	37	52	73	77	71	130
trpT	63	69	93	101	110	123
ECs4698	3190	3972	4938	3191	3046	3472
ECs4699	6118	6594	11159	11331	11061	13200
ECs4700	1536	1707	2525	4591	4390	4884
ECs4701	924	1597	2515	370	353	512
ECs4702	4801	5807	7348	1335	1289	1561
ECs4703	295	268	397	38	51	35
ECs4704	2797	2676	4670	691	502	563
ECs4705	2788	2454	3633	771	578	656
ECs4706	3012	2989	2501	1174	1499	1906
ECs4707	899	715	765	562	598	740
ECs4708	8064	11863	11403	2990	2701	3010
ECs4709	4880	5870	7390	6086	5509	6279
ECs4710	747	879	1152	494	407	435
ECs4711	4610	3170	5845	6142	5184	5428
ECs4712	18777	22579	29752	29517	26541	31747
ECs4713	23859	22413	29594	27937	26716	35504
ECs4714	33235	41496	52345	30183	27976	32732
ECs4715	19347	22697	32395	21069	20026	23291
ECs4716	112010	124348	172785	130185	124035	152532
ECs4717	11097	12398	17801	23546	20986	25744
ECs4718	8066	8121	12893	12223	10177	12564
ECs4719	7955	6289	11357	9522	7995	9640
ECs4720	9187	8293	13910	12210	10133	12513
ECs4721	7620	7091	10970	9374	7949	10365
ECs4722	6352	6220	9276	7810	6994	8788
ECs4723	2904	2389	3399	3052	2977	3841
ECs4724	4742	4214	6623	4145	3673	4856
ECs4725	3103	1861	4358	4042	2914	3798
ECs4726	3068	3019	4493	3564	3098	3909
ECs4727	1959	1845	3377	2284	1745	2248
ECs4728	1662	1081	2604	1574	1088	1375
ECs4729	5658	5775	8190	5124	4428	5305
argX	7218	7115	8045	8438	11432	14282
hisR	5904	6185	9761	10474	9693	12516
