FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal
DATA	87	2	5	0	0	A_07_P046211	Z4865	11380.8	352.738	8.37E+02	8.38E+01	708	50	1.75E+01	0	0	0	0	0	0	657.142	1	1	48.9384	54.318
DATA	88	2	6	66	-1	(-)3xSLv1	NegativeControl	11423.5	352.492	4.30E+00	4.33E+00	51	50	1.64E+01	0	0	0	0	0	0	-6.38532	0	0	65	53.2391
DATA	89	2	7	66	-1	(-)3xSLv1	NegativeControl	11465.8	352.44	4.31E+00	4.35E+00	56	49	1.55E+01	0	0	0	0	0	0	-2.17692	0	0	56.5429	52.0978
DATA	90	2	8	0	0	A_07_P044075	Z2504	11508.1	352.44	9.21E+01	1.02E+01	128	49	1.70E+01	0	0	0	0	0	0	71.3747	1	1	56.2381	53.9189
DATA	91	2	9	66	-1	(-)3xSLv1	NegativeControl	11550.5	352.492	4.34E+00	4.38E+00	51	49	1.72E+01	0	0	0	0	0	0	-5.56499	0	0	65	53.052
DATA	92	2	10	0	0	A_07_P017971	b3389	11592.5	352.827	9.29E+03	9.29E+02	6843.5	51	1.60E+01	0	0	0	0	0	0	7166.17	1	1	49.2883	53.7459
DATA	93	2	11	66	-1	(-)3xSLv1	NegativeControl	11635	352.5	4.35E+00	4.39E+00	51	52	1.88E+01	0	0	0	0	0	0	-5.3089	0	0	65	55.7556
DATA	94	2	12	0	0	A_07_P008305	b0322	11677.2	352.642	8.17E+02	8.18E+01	693	50	1.71E+01	0	0	0	0	0	0	629.442	1	1	48.3494	53.5608
DATA	95	2	13	0	0	A_07_P062796	ECs2582	11719.5	352.935	1.24E+03	1.24E+02	1002.5	50	1.60E+01	0	0	0	0	0	0	953.831	1	1	49.2883	53.2371
DATA	96	2	14	0	0	A_07_P047146	Z5490	11761.3	353.053	3.84E+02	3.86E+01	353	48	1.66E+01	0	0	0	0	0	0	296.212	1	1	46.6609	52.4061
DATA	97	2	15	0	0	A_07_P017987	b3392	11804.1	352.676	4.65E+02	4.67E+01	406	49.5	1.79E+01	0	0	0	0	0	0	359.155	1	1	48.2308	54.2847
DATA	98	2	16	0	0	A_07_P039063	c_4688	11846.4	351.89	8.42E+01	9.49E+00	116	52	1.71E+01	0	0	0	0	0	0	65.2137	1	1	38.1486	54.6812
DATA	99	2	17	0	0	A_07_P032476	c_2879	11889	352.5	4.32E+00	4.36E+00	60	49	1.68E+01	0	0	0	0	0	0	1.48798	0	0	65	53.3385
DATA	100	2	18	0	0	A_07_P050293	Z1809	11931.1	352.679	2.02E+03	2.02E+02	1614.5	48	1.73E+01	0	0	0	0	0	0	1572	1	1	49.2883	53.2103
DATA	101	2	19	0	0	A_07_P061654	ECs5249	11973.3	352.916	5.02E+02	5.04E+01	446	48	1.75E+01	0	0	0	0	0	0	392.812	1	1	48.2308	52.564
DATA	102	2	20	0	0	A_07_P018342	b1656	12015.7	352.981	3.72E+03	3.72E+02	2868	48	1.56E+01	0	0	0	0	0	0	2917.51	1	1	48.7036	51.6408
DATA	103	2	21	0	0	A_07_P047033	Z5416	12057.3	352.799	6.47E+01	7.76E+00	105	49	1.70E+01	0	0	0	0	0	0	50.9804	1	1	41.8718	53.2622
DATA	104	2	22	66	-1	(-)3xSLv1	NegativeControl	12099.2	352.804	4.24E+00	4.28E+00	57	49	1.59E+01	0	0	0	0	0	0	1.68824	0	0	39.7664	51.7937
DATA	105	2	23	1028	1	(+)E1A_r60_n11	E1A_r60_n11	12143	352.592	3.21E+02	3.24E+01	309	49	1.63E+01	0	0	0	0	0	0	255.426	1	1	46.7835	52.2978
DATA	106	2	24	0	0	A_07_P048568	Z2413	12184.7	352.028	1.09E+02	1.17E+01	147	50	1.62E+01	0	0	0	0	0	0	87.4734	1	1	45.0363	52.9444
DATA	107	2	25	66	-1	(-)3xSLv1	NegativeControl	12227.8	352.4	4.17E+00	4.21E+00	50	49.5	1.76E+01	0	0	0	0	0	0	-7.3128	0	0	65	53.4457
DATA	108	2	26	0	0	A_07_P040521	c_1246	12270.1	352.546	3.31E+02	3.34E+01	320	49	1.63E+01	0	0	0	0	0	0	267.665	1	1	56.2381	52.5709
DATA	109	2	27	0	0	A_07_P042312	c_2003	12311.8	352.896	1.85E+03	1.85E+02	1510.5	47	1.61E+01	0	0	0	0	0	0	1502.15	1	1	49.981	51.9207
DATA	110	2	28	0	0	A_07_P036223	c_0318	12354.9	353.111	9.20E+01	1.01E+01	135	49	1.70E+01	0	0	0	0	0	0	75.2188	1	1	45.4164	52.3919
DATA	111	2	29	0	0	A_07_P059587	ECs0226	12397	352.605	3.07E+02	3.09E+01	319	48	1.71E+01	0	0	0	0	0	0	252.126	1	1	56.2381	52.2801
DATA	112	2	30	0	0	A_07_P008458	b3951	12438	353.214	7.15E+01	8.24E+00	114	50	1.66E+01	0	0	0	0	0	0	59.1455	1	1	44.2664	53.2909
DATA	113	2	31	0	0	A_07_P044923	Z3144	12481.1	352.862	1.83E+03	1.83E+02	1469	49	1.62E+01	0	0	0	0	0	0	1521.02	1	1	49.0553	52.9792
DATA	114	2	32	0	0	A_07_P040862	c_1406	12523.4	352.898	1.05E+02	1.13E+01	138	50	1.66E+01	0	0	0	0	0	0	88.3012	1	1	44.7812	53.1179
DATA	115	2	33	0	0	A_07_P045656	Z4258	12565.3	353.143	2.23E+02	2.27E+01	238	48	1.67E+01	0	0	0	0	0	0	188.115	1	1	46.4147	51.9116
DATA	116	2	34	0	0	A_07_P000772	b2197	12608.3	352.892	1.64E+03	1.64E+02	1424	48	1.67E+01	0	0	0	0	0	0	1388.27	1	1	47.8731	52.553
DATA	117	2	35	0	0	A_07_P049530	Z5027	12651	353	3.94E+00	3.99E+00	61.5	49	1.68E+01	0	0	0	0	0	0	3.02789	0	0	54.2679	52.7707
