FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal
DATA	105	2	23	1028	1	(+)E1A_r60_n11	E1A_r60_n11	12143.2	4459.77	3.19E+02	3.28E+01	400	49	1.79E+01	0	0	0	0	0	0	342.023	1	1	45.7933	53.3272
DATA	106	2	24	0	0	A_07_P048568	Z2413	12184.6	4459.91	1.17E+02	1.39E+01	195	50	1.66E+01	0	0	0	0	0	0	125.988	1	1	43.3509	52.8106
DATA	107	2	25	66	-1	(-)3xSLv1	NegativeControl	12227.5	4460	1.32E+01	7.51E+00	89.5	49	1.80E+01	0	0	0	1	0	0	14.2622	1	0	54.5837	53.4408
DATA	108	2	26	0	0	A_07_P040521	c_1246	12269.7	4460.03	2.98E+02	3.07E+01	385	50	1.78E+01	0	0	0	0	0	0	324.26	1	1	46.9058	53.8944
DATA	109	2	27	0	0	A_07_P042312	c_2003	12311.9	4460.1	9.69E+03	9.69E+02	9867.5	48	1.63E+01	0	0	0	0	0	0	10586.5	1	1	48.5859	51.814
DATA	110	2	28	0	0	A_07_P036223	c_0318	12354.4	4460.06	7.44E+01	1.04E+01	156	48	1.68E+01	0	0	0	0	0	0	81.7367	1	1	43.0858	52.119
DATA	111	2	29	0	0	A_07_P059587	ECs0226	12396.9	4460.17	3.54E+02	3.61E+01	444	50	1.65E+01	0	0	0	0	0	0	390.317	1	1	47.7532	52.9247
DATA	112	2	30	0	0	A_07_P008458	b3951	12439.1	4460.41	6.41E+01	9.65E+00	147	51	1.66E+01	0	0	0	0	0	0	71.0345	1	1	56.1362	54.0841
DATA	113	2	31	0	0	A_07_P044923	Z3144	12481.1	4460.39	1.14E+03	1.14E+02	1233	48	1.67E+01	0	0	0	0	0	0	1270.99	1	1	49.0553	52.1221
DATA	114	2	32	0	0	A_07_P040862	c_1406	12523.8	4460.41	1.22E+02	1.41E+01	200	49	1.68E+01	0	0	0	0	0	0	136.525	1	1	56.4415	52.5579
DATA	115	2	33	0	0	A_07_P045656	Z4258	12565.8	4460.53	2.47E+02	2.57E+01	346	49	1.58E+01	0	0	0	0	0	0	277.775	1	1	48.7036	52.3298
DATA	116	2	34	0	0	A_07_P000772	b2197	12608.5	4460.39	1.34E+03	1.34E+02	1560	48	1.60E+01	0	0	0	0	0	0	1509.02	1	1	48.9384	51.2571
DATA	117	2	35	0	0	A_07_P049530	Z5027	12650.8	4460.41	2.56E+01	7.52E+00	96.5	48	1.63E+01	0	0	0	0	0	0	28.9388	1	0	56.4415	51.7336
DATA	118	2	36	66	-1	(-)3xSLv1	NegativeControl	12693.1	4460.44	6.98E+00	7.04E+00	68	51	1.67E+01	0	0	0	0	0	0	-7.34322	0	0	56.2381	53.789
DATA	119	2	37	0	0	A_07_P019861	b2596	12735.4	4460.51	4.94E+01	8.58E+00	133	50	1.57E+01	0	0	0	0	0	0	56.3333	1	1	44.2664	53.075
DATA	120	2	38	66	-1	(-)3xSLv1	NegativeControl	12776.7	4460.3	6.93E+00	6.99E+00	65	48.5	1.54E+01	0	0	0	0	0	0	-10.3598	0	0	40.4804	52.1793
DATA	121	2	39	0	0	A_07_P012726	b3251	12820.1	4460.44	2.41E+04	2.42E+03	25716	49	1.82E+01	0	0	0	0	0	0	27736.2	1	1	56.2381	54.3435
DATA	122	2	40	0	0	A_07_P047440	Z5888	12862.3	4460.29	1.46E+02	1.62E+01	240	47	1.59E+01	0	0	0	0	0	0	168.136	1	1	48.7036	50.8488
DATA	123	2	41	0	0	A_07_P030781	c_0352	12904.8	4460.44	3.42E+04	3.42E+03	37861	51	1.64E+01	0	0	0	0	0	0	39512.7	1	1	56.7452	53.6354
DATA	124	2	42	0	0	A_07_P021086	b0395	12946.6	4460.62	1.20E+02	1.39E+01	208.5	48.5	1.58E+01	0	0	0	0	0	0	139.051	1	1	49.0553	51.5443
DATA	125	2	43	0	0	A_07_P035086	c_2001	12989.5	4460.86	3.92E+03	3.92E+02	4389	48	1.69E+01	0	0	0	0	0	0	4545.6	1	1	48.9384	52.3214
DATA	126	2	44	0	0	A_07_P039691	c_4409	13032.1	4460.63	8.09E+01	1.06E+01	167	49.5	1.72E+01	0	0	0	0	0	0	94.0151	1	1	45.5424	53
DATA	127	2	45	66	-1	(-)3xSLv1	NegativeControl	13074	4460.5	4.73E+01	8.35E+00	126	47	1.59E+01	0	0	0	1	0	0	55.0868	1	1	56.2381	50.8652
DATA	128	2	46	0	0	A_07_P032131	c_2621	13116.3	4460.9	1.73E+02	1.87E+01	270	48	1.65E+01	0	0	0	0	0	0	202.107	1	1	47.1495	52
DATA	129	2	47	0	0	A_07_P038912	c_1755	13158.3	4460.64	3.73E+03	3.73E+02	4111	49	1.59E+01	0	0	0	0	0	0	4346.54	1	1	49.2883	52.123
DATA	130	2	48	66	-1	(-)3xSLv1	NegativeControl	13201	4460.5	6.80E+00	6.87E+00	79	50	1.65E+01	0	0	0	0	0	0	4.44536	0	0	65	53.0353
DATA	131	2	49	66	-1	(-)3xSLv1	NegativeControl	13243.4	4460.5	6.80E+00	6.86E+00	59.5	49	1.78E+01	0	0	0	0	0	0	-11.2281	0	0	56.6442	53.1061
DATA	132	2	50	0	0	A_07_P017488	b4358	13285.4	4460.65	4.19E+02	4.24E+01	555	49.5	1.81E+01	0	0	0	0	0	0	488.495	1	1	49.172	54.3698
DATA	133	2	51	0	0	A_07_P040180	c_4560	13328.7	4460.76	1.74E+02	1.87E+01	268	49	1.72E+01	0	0	0	0	0	0	203.144	1	1	47.3919	53.0363
DATA	134	2	52	0	0	A_07_P047944	Z2143	13370.6	4460.74	1.58E+03	1.58E+02	1885	51	1.77E+01	0	0	0	0	0	0	1836	1	1	49.172	54.7456
